method,awgn,bw_synth,em_synth,impulse,ma_synth,mixed,pli
B01,12.8,24.7,10.21,11.81,17.06,14.01,29.95
B02,8.93,25.37,11.19,6.93,12.57,12.53,36.8
M00,1.16,1.12,1.19,1.18,1.15,1.17,1.15
M01,8.23,19.19,9.67,5.15,10.43,10.45,21.56
M02,7.93,12.87,7.97,6.22,10.68,8.8,13.58
M03,6.83,14.54,8.67,3.69,8.77,8.52,14.04
M04,6.87,23.92,10.09,3.56,4.29,10.41,28.76
M04np,6.87,23.92,10.09,3.56,4.29,10.41,28.76
M05,7.41,12.21,8.06,6.5,11.19,8.5,12.41
M05f,5.93,11.0,7.49,4.78,8.85,7.31,11.03
M06,10.16,15.24,11.35,13.65,13.11,12.11,16.12
M07,10.02,13.62,10.48,12.2,12.09,11.18,13.89
M08,10.44,16.52,11.42,13.69,14.0,12.46,17.68
M10,9.18,14.04,11.55,12.61,12.03,11.36,14.6
M_FE,4.5,24.7,10.12,3.56,4.08,9.91,23.43
